# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
GRAPHIC GET CAPTION,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET CLIENT,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GRAPHIC GET CLIP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET DC,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET LINES,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET LOC,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GRAPHIC GET MIX,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET OVERLAP,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC GET PIXEL,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET POS,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET PPI,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET SCALE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET SCROLLTEXT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC GET SIZE,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
GRAPHIC GET STRETCHMODE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET TEXTALIGN,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
GRAPHIC GET VIEW,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET WORDWRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC GET WRAP,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC IMAGELIST,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC INKEY$,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC INPUT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC INPUT FLUSH,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC INSTAT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC LINE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC LINE INPUT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC PAINT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC PIE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC POLYGON,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC POLYLINE,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
GRAPHIC PRINT,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC REDRAW,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
GRAPHIC RENDER,STATEMENT,PB/Win + PB/CC,Established,TIER3_DDT
